Timestamp,Game_Number,Turn_Number,FEN,Error_Message
2026-02-20 18:16:49,1,1,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,illegal uci: 'e2e4' in rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1
2026-02-20 18:17:00,2,1,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,illegal uci: 'e2e4' in rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1
2026-02-21 16:53:50,1,1,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,illegal uci: 'e2e4' in rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1
2026-02-21 16:54:02,2,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N1P3/PPPP1PPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N1P3/PPPP1PPP/R1BQKBNR b KQkq - 1 2
2026-02-21 16:54:13,3,2,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2
2026-02-21 16:54:25,4,2,rnbqkbnr/ppp1pppp/8/3p4/6P1/7N/PPPPPP1P/RNBQKB1R b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/6P1/7N/PPPPPP1P/RNBQKB1R b KQkq - 0 2
2026-02-21 16:54:36,5,2,rnbqkbnr/ppp1pppp/8/3p4/6P1/P7/1PPPPP1P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/6P1/P7/1PPPPP1P/RNBQKBNR b KQkq - 0 2
2026-02-21 16:54:47,6,2,rnbqkbnr/ppp1pppp/8/3p4/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 16:54:57,7,2,rnbqkbnr/ppp1pppp/8/3p4/8/5PP1/PPPPP2P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/5PP1/PPPPP2P/RNBQKBNR b KQkq - 0 2
2026-02-21 16:55:08,8,2,rnbqkbnr/ppp1pppp/8/3p4/4P3/5P2/PPPP2PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P3/5P2/PPPP2PP/RNBQKBNR b KQkq - 0 2
2026-02-21 16:55:19,9,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2
2026-02-21 16:55:29,10,2,rnbqkbnr/ppp1pppp/8/3p4/2P3P1/8/PP1PPP1P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P3P1/8/PP1PPP1P/RNBQKBNR b KQkq - 0 2
2026-02-21 16:55:40,11,2,rnbqkbnr/ppp1pppp/8/3p4/8/N6P/PPPPPPP1/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/N6P/PPPPPPP1/R1BQKBNR b KQkq - 0 2
2026-02-21 16:55:51,12,2,rnbqkbnr/ppp1pppp/8/3p4/3P4/1P6/P1P1PPPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/3P4/1P6/P1P1PPPP/RNBQKBNR b KQkq - 0 2
2026-02-21 16:56:02,13,2,rnbqkbnr/ppp1pppp/8/3p4/3P4/P7/1PP1PPPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/3P4/P7/1PP1PPPP/RNBQKBNR b KQkq - 0 2
2026-02-21 16:56:13,14,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2
2026-02-21 16:56:24,15,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/3P4/PP2PPPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/3P4/PP2PPPP/RNBQKBNR b KQkq - 0 2
2026-02-21 16:56:35,16,2,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPPKPP/RNBQ1BNR b kq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPPKPP/RNBQ1BNR b kq - 1 2
2026-02-21 16:56:46,17,2,rnbqkbnr/ppp1pppp/8/3p4/7P/1P6/P1PPPPP1/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/7P/1P6/P1PPPPP1/RNBQKBNR b KQkq - 0 2
2026-02-21 16:56:57,18,2,rnbqkbnr/ppp1pppp/8/3p4/1P4P1/8/P1PPPP1P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/1P4P1/8/P1PPPP1P/RNBQKBNR b KQkq - 0 2
2026-02-21 16:57:08,19,2,rnbqkbnr/ppp1pppp/8/3p4/4P3/6P1/PPPP1P1P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P3/6P1/PPPP1P1P/RNBQKBNR b KQkq - 0 2
2026-02-21 16:57:19,20,2,rnbqkbnr/ppp1pppp/8/3p4/6P1/5N2/PPPPPP1P/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/6P1/5N2/PPPPPP1P/RNBQKB1R b KQkq - 1 2
